"Sample\Estimators",ace,chao,coverage,shannon,simpson,sobs
S1,1351.25721,1354.01936,0.99278,4.39624,0.03653,1049
S2,1530.38173,1524.31073,0.99017,4.57671,0.03514,1149
S3,1673.48138,1652.18557,0.99153,4.6089,0.03837,1247
S4,695.89792,697.60976,0.99634,3.40745,0.10838,584
S5,822.91838,827.91861,0.99683,4.58558,0.03323,718
S6,758.71007,760.75,0.99674,4.65701,0.02447,670
S7,1127.09748,1128.87402,0.9942,5.09854,0.02176,986
S8,553.72361,553.69231,0.99733,2.83978,0.16459,432
S9,867.736,866.90909,0.9979,4.94174,0.01877,795
W1,1989.05841,1970.09375,0.99079,4.8587,0.02927,1509
W2,1833.28833,1801.92233,0.98758,4.95098,0.02706,1350
W3,1799.37546,1794.07389,0.98896,5.12472,0.01959,1377
W4,1831.42339,1848.41539,0.98813,5.13118,0.01863,1371
W5,1961.34131,1928.52609,0.99029,5.25796,0.01611,1520
W6,1841.94994,1831.13333,0.9895,4.92526,0.02567,1396
W7,1915.20117,1873.20444,0.9923,5.0643,0.02192,1506
W8,1984.2312,1987.00479,0.99168,5.14896,0.01874,1527
