Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__wastewater_metagenome_g__norank_o__Saccharimonadales,OTU10,11,2.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU21,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__unclassified_o__Babeliales,g__unclassified_o__Babeliales,s__unclassified_o__Babeliales,OTU33,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified_g__Gemmatimonas,OTU40,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__norank_f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,s__unclassified_g__norank_f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,OTU41,5,6.91934e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__uncultured_Cyanobacterium_sp._g__norank,OTU46,6,8.30321e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_grandis,OTU84,23,3.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_fermentum,OTU101,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__unclassified_g__Legionella,OTU117,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__Methylotenera,s__uncultured_bacterium_g__Methylotenera,OTU130,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__RBG-16-58-14,s__uncultured_bacterium_g__RBG-16-58-14,OTU138,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__unclassified_g__Arenimonas,OTU152,405,0.00056,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__unclassified_g__norank_o__Saccharimonadales,OTU176,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__unclassified_g__Flavisolibacter,OTU203,5,6.91934e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__unclassified_g__Lysobacter,OTU218,25,3.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank_f__Verrucomicrobiaceae,s__unclassified_g__norank_f__Verrucomicrobiaceae,OTU226,106,0.00015,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Armatimonadetes,c__norank_p__Armatimonadetes,o__norank_p__Armatimonadetes,f__norank_p__Armatimonadetes,g__norank_p__Armatimonadetes,s__uncultured_soil_bacterium_g__norank_p__Armatimonadetes,OTU231,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_f__Chitinophagaceae,s__metagenome_g__norank_f__Chitinophagaceae,OTU274,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__norank_c__Gammaproteobacteria,f__norank_c__Gammaproteobacteria,g__norank_c__Gammaproteobacteria,s__metagenome_g__norank_c__Gammaproteobacteria,OTU23,6,8.30321e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__norank_f__env.OPS_17,s__uncultured_bacterium_g__norank_f__env.OPS_17,OTU276,6,8.30321e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,s__uncultured_bacterium_g__Sphingorhabdus,OTU55,28871,0.03995,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__unclassified_f__Acetobacteraceae,s__unclassified_f__Acetobacteraceae,OTU48,18,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__norank_c__Verrucomicrobiae,f__norank_c__Verrucomicrobiae,g__norank_c__Verrucomicrobiae,s__uncultured_bacterium_g__norank_c__Verrucomicrobiae,OTU302,136,0.00019,11.764705882353%
