sample	1-20	21-40	41-60	61-80	81-100	101-120	121-140	141-160	161-180	181-200	201-220	221-240	241-260	261-280	281-300	301-320	321-340	341-360	361-380	381-400	401-420	421-440	441-460	461-480	481-500	501-520
S9	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	3	13	10	22	49242	21735	0	7	0	0
S8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	8	42496	3400	0	0	0	0
S3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	18	15	44754	19000	1	0	0	0
S2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	10	11	38069	16082	0	0	0	0
S1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	22	22	40281	12760	2	0	0	0
S7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	5	10	20	29088	11567	0	2	0	0
S6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	6	23	32279	13212	0	1	1	0
S5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	3	3	18	41221	14153	0	0	0	0
S4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	4	34919	5353	0	0	0	0
W7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	10	20	73	38803	30646	1	0	1	1
W6	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	6	11	16	43	31418	25036	3	0	1	0
W5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	10	1	16	26	66	30671	34779	7	1	1	0
W4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	12	15	53	25715	23450	4	0	0	0
W3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	11	12	151	28599	23286	1	0	1	0
W2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	8	15	51	27873	21724	0	2	1	0
W1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	2	1	16	20	108	43009	30263	4	1	0	0
W8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	1	16	13	61	38076	34673	7	2	1	0
