sample	1-50	51-100	101-150	151-200	201-250	251-300	301-350	351-400	401-450	451-500	501-550
S9	0	0	0	0	1	3	11	38	70977	7	0
S8	0	0	0	0	1	0	0	10	45896	0	0
S3	0	0	0	0	0	1	5	35	63755	0	0
S2	0	0	0	0	0	0	11	22	54151	0	0
S1	0	0	0	0	1	0	2	45	53043	0	0
S7	0	0	0	0	1	1	5	33	40655	2	0
S6	0	0	0	0	0	0	5	30	45491	2	0
S5	0	0	0	0	1	2	4	22	55374	0	0
S4	0	0	0	0	0	1	2	7	40272	0	0
W7	0	0	0	0	0	2	6	100	69450	1	1
W6	0	0	0	0	3	0	13	67	56455	3	0
W5	0	0	0	0	2	3	19	100	65455	4	0
W4	0	0	0	0	0	1	10	76	49167	2	0
W3	0	0	0	0	1	0	8	169	51886	1	0
W2	0	0	0	0	1	1	6	70	49597	3	0
W1	0	0	0	1	3	1	7	140	73273	4	0
W8	0	0	0	0	1	1	14	82	72755	4	0
