sample	reads	bases	avg	min	max
S9	71037	29288883	412.304615904	203	470
S8	45907	18631810	405.859890648	229	431
S3	63796	26379911	413.504153865	296	442
S2	54184	22397953	413.368392884	304	433
S1	53091	21820413	411.000226027	203	450
S7	40697	16776049	412.218320761	239	470
S6	45528	18756295	411.972742049	303	488
S5	55403	22767026	410.934895222	219	439
S4	40282	16418717	407.594384589	258	431
W7	69560	28881489	415.202544566	261	514
W6	56541	23480403	415.280999629	238	491
W5	65583	27379556	417.479468765	245	489
W4	49256	20498012	416.152590547	258	456
W3	52065	21627736	415.398751561	220	490
W2	49678	20624535	415.164358469	235	481
W1	73429	30438831	414.534189489	200	464
W8	72857	30320700	416.167286603	223	491
