SampleInfo,Seq_num,Base_num,Mean_length,Min_length,Max_length
S1,53091,21820413,411.00023,203,450
S2,54184,22397953,413.36839,304,433
S3,63796,26379911,413.50415,296,442
S4,40282,16418717,407.59438,258,431
S5,55403,22767026,410.9349,219,439
S6,45528,18756295,411.97274,303,488
S7,40697,16776049,412.21832,239,470
S8,45907,18631810,405.85989,229,431
S9,71037,29288883,412.30462,203,470
W1,73429,30438831,414.53419,200,464
W2,49678,20624535,415.16436,235,481
W3,52065,21627736,415.39875,220,490
W4,49256,20498012,416.15259,258,456
W5,65583,27379556,417.47947,245,489
W6,56541,23480403,415.281,238,491
W7,69560,28881489,415.20254,261,514
W8,72857,30320700,416.16729,223,491
×Ü¼Æ(17),958894,396488319,413.18457705882,200,514
